1, 100, 1, 2, 2, 80, 10, 5
2, 200, 3, 4, 3, 100, 8, 4
3, 150, 5, 16, 1, 120, 12, 6
4, 200, 7, 8, 1, 120, 12, 6
5, 100, 9, 10, 2, 80, 10, 5
6, 200, 11, 12, 3, 100, 8, 4
7, 150, 13, 14, 1, 120, 12, 6
8, 200, 15, 16, 1, 120, 12, 6
9, 100, 17, 18, 2, 80, 10, 5
10, 200, 19, 20, 3, 100, 8, 4
11, 150, 21, 22, 1, 120, 12, 6
12, 200, 22, 23, 1, 120, 12, 6
13, 100, 1, 2, 2, 80, 10, 5
14, 200, 3, 4, 3, 100, 8, 4
15, 150, 5, 16, 1, 120, 12, 6
16, 200, 7, 8, 1, 120, 12, 6
17, 100, 9, 10, 2, 80, 10, 5
18, 200, 11, 12, 3, 100, 8, 4
19, 150, 13, 14, 1, 120, 12, 6
20, 200, 15, 16, 1, 120, 12, 6

21, 100, 1, 2, 2, 80, 10, 5
22, 200, 3, 4, 3, 100, 8, 4
23, 150, 5, 16, 1, 120, 12, 6
24, 200, 7, 8, 1, 120, 12, 6
25, 100, 9, 10, 2, 80, 10, 5
26, 200, 11, 12, 3, 100, 8, 4
27, 150, 13, 14, 1, 120, 12, 6
28, 200, 15, 16, 1, 120, 12, 6
29, 100, 17, 18, 2, 80, 10, 5
30, 200, 19, 20, 3, 100, 8, 4
31, 150, 21, 22, 1, 120, 12, 6
32, 200, 22, 23, 1, 120, 12, 6
33, 100, 1, 2, 2, 80, 10, 5
34, 200, 3, 4, 3, 100, 8, 4
35, 150, 5, 16, 1, 120, 12, 6
36, 200, 7, 8, 1, 120, 12, 6
37, 100, 9, 10, 2, 80, 10, 5
38, 200, 11, 12, 3, 100, 8, 4
39, 150, 13, 14, 1, 120, 12, 6
40, 200, 15, 16, 1, 120, 12, 6
