id,distance,available_time_start,available_time_end,current_charge,battery_capacity,charge_speed,discharge_rate
1,152,21,22,14,150,13,6
2,229,20,21,2,100,5,9
3,142,1,5,13,120,13,3
4,64,23,24,16,150,11,6
5,156,11,12,3,80,13,4
6,121,5,21,17,100,12,3
7,238,1,9,7,150,5,9
8,70,20,21,3,80,12,9
9,152,0,18,1,150,12,8
10,171,11,12,5,80,7,7
11,260,21,22,9,100,5,5
12,264,11,18,3,120,12,6
13,124,16,17,17,80,7,8
14,252,9,21,11,150,7,5
15,137,15,16,1,100,5,5
16,166,14,20,9,80,9,3
17,149,14,15,3,150,14,5
18,153,18,19,13,150,11,7
19,201,11,12,15,150,14,9
20,180,22,23,14,80,13,8
